,Titre,Auteur,Summary
14,"La cheffe, roman d'une cuisinière ",Marie NDiaye,"""Toutes ses facultés d’aimer, de se donner, de souffrir, d’espérer, la cuisine s’en était emparée bien avant que je la rencontre, et le peu de ces ressources d’amour qui parvenait à se détourner de la cuisine allait à sa fille."" Un ancien commis de cuisine raconte la vie et la carrière de la Cheffe, une cuisinière qui a connu une période de gloire, dont il a longtemps été l’assistant – et l’amoureux sans retour. Au centre du récit, la cuisine est vécue comme une aventure spirituelle. Non que le plaisir et le corps en soient absents, au contraire : ils sont les instruments d’un voyage vers un au-delà, la Cheffe allant toujours plus loin dans sa quête de l’épure."
15,Message sans réponse ,Patricia J. MacDonald,"""Bonjour, Eden. Tu me manques. On peut se parler ? Appelle-moi"". Il est tard lorsque Eden, jeune éditrice new-yorkaise, reçoit ce message de sa mère, Tara. Leurs relations sont distantes depuis que celle-ci a refait sa vie avec un séduisant diplômé de Harvard, Flynn Darby, de treize ans son cadet. Pour lui, Tara a tout quitté et ils ont eu un enfant, Jeremy, atteint d'une maladie génétique très grave. En décidant de ne pas répondre, Eden n'imagine pas un instant qu'elle n'entendra plus jamais la voix de sa mère : le lendemain, Tara se suicide après avoir tué Jeremy. Rongée par la culpabilité, Eden est prête à tout pour connaître la vérité."
16,Quand sort la recluse ,Fred Vargas, 
17,Et tu trouveras le trésor qui dort en toi ,Laurent Gounelle,"Tout commence le jour où Alice, une jeune femme dynamique et audacieuse, retrouve son ami d’enfance, Jérémie. Devenu prêtre de campagne, il lui confie être accablé par le faible nombre de fidèles qui le suivent. Athée et conseillère en communication, Alice se met en tête de l’aider... à sa manière. Amenée par la force des choses à se plonger dans le monde de la spiritualité, du christianisme à l’hindouisme, du taoïsme au bouddhisme, Alice va découvrir une vérité universelle particulièrement troublante. Une vérité concernant l’homme et la clé de son épanouissement, passée sous silence par les religieux, perdue au fil des siècles... Dans ce nouveau roman émouvant et captivant, Laurent Gounelle nous entraîne dans un univers passionnant à la découverte de ce qui permet à l’homme de s’élever dans une autre dimension, où ses actes sont puissants et sa joie, un état durable. Les livres de Laurent Gounelle sont tous des best-sellers, traduits dans le monde entier."
18,Riquet à la houppe ,Amélie Nothomb,« L'art a une tendance naturelle à privilégier l'extraordinaire. »Amélie Nothomb
19,Temps glaciaires ,Fred Vargas,"""Adamsberg attrapa son téléphone, écarta une pile de dossiers et posa les pieds sur sa table, s'inclinant dans son fauteuil. Il avait à peine fermé l'oeil cette nuit, une de ses soeurs ayant contracté une pneumonie, dieu sait comment. La femme du 33 bis ? demanda-t-il. Veines ouvertes dans la baignoire ? Pourquoi tu m'emmerdes avec ça à 9 heures du matin, Bourlin ? D'après les rapports internes, il s'agit d'un suicide avéré. Tu as des doutes ? Adamsberg aimait bien le commissaire Bourlin. Grand mangeur grand fumeur grand buveur, en éruption perpétuelle, vivant à plein régime en rasant les gouffres, dur comme pierre et bouclé comme un jeune agneau, c'était un résistant à respecter, qui serait encore à son poste à cent ans. Le juge Vermillon, le nouveau magistrat zélé, est sur moi comme une tique, dit Bourlin. Tu sais ce que ça fait, les tiques ?"""
20,Bridget Jones baby ,Helen Fielding,"On croyait tout connaître de Bridget Jones... Mais si la mythique héroïne ne nous avait pas tout dit ? C'est le plus beau moment dans la vie d'une femme : être mère pour la première fois. Mais Bridget n'est pas une femme tout à fait comme les autres. Lorsqu'elle apprend qu'elle est enceinte, elle hésite entre euphorie est désespoir : qui est le père de l'enfant ? Telle est la question (entre autres) qui la taraude... Dans son journal, la célibataire la plus désopilante de la littérature anglaise se livre... complètement ! Une comédie éblouissante, très différente du film Bridget Jones' Baby."
21,Le dompteur de lions ,Camilla Läckberg,"Une jeune fille disparue depuis plus de quatre mois erre à moitié nue à travers la forêt enneigée avant d’atterrir sur une route déserte. La voiture arrive de nulle part, le choc est inévitable. L’accident n’explique pourtant pas les yeux crevés de la victime et les nombreuses blessures sur son corps. Lorsqu’Erica Falck commence à exhumer une vieille affaire de meurtre impliquant un ancien dompteur de lions, elle ne se doute pas que les sombres tentacules du passé sont en train de se refermer sur le présent. Et que le cauchemar ne fait que commencer..."
22,Marlène ,Philippe Djian,"Dan et Richard, deux vétérans de l’Afghanistan et amis d’enfance, vivent dans la même ville depuis leur retour des zones de combat. Encore gravement perturbés par ce qu’ils ont vécu, ils peinent à retrouver une vie normale. Le cas de Dan est à peu près réglé – il s'oblige à une hygiène de vie très rigoureuse, travaille assidûment ; mais celui de Richard – bagarreur, récidiviste, infidèle – semble définitivement perdu. L’arrivée de Marlène, la belle-sœur de Richard, va redistribuer les cartes. Jusqu’à la tragédie? Condensé dans sa forme, nerveux, Marlène est un roman tout entier tendu par la brusque fuite en avant de ses héros."
23,Le temps est assassin ,Michel Bussi,"Votre été sera corsé ! Eté 1989 La Corse, presqu'île de la Revellata, entre mer et montagne. Une route en corniche, un ravin de vingt mètres, une voiture qui roule trop vite... et bascule dans le vide. Une seule survivante : Clotilde, quinze ans. Ses parents et son frère sont morts sous ses yeux. Eté 2016 Clotilde revient pour la première fois sur les lieux de l'accident, avec son mari et sa fille ado, en vacances, pour exorciser le passé. A l'endroit même où elle a passé son dernier été avec ses parents, elle reçoit une lettre. Une lettre signée de sa mère. Vivante ?"
24,La tresse ,Laetitia Colombani,"Trois femmes, trois vies, trois continents. Une même soif de liberté. Inde. Smita est une Intouchable. Elle rêve de voir sa fille échapper à sa condition misérable et entrer à l’école. Sicile. Giulia travaille dans l’atelier de son père. Lorsqu’il est victime d’un accident, elle découvre que l’entreprise familiale est ruinée. Canada. Sarah, avocate réputée, va être promue à la tête de son cabinet quand elle apprend qu’elle est gravement malade. Liées sans le savoir par ce qu’elles ont de plus intime et de plus singulier, Smita, Giulia et Sarah refusent le sort qui leur est destiné et décident de se battre. Vibrantes d’humanité, leurs histoires tissent une tresse d’espoir et de solidarité."
25,D'après une histoire vraie ,Delphine de Vigan,"« Ce livre est le récit de ma rencontre avec L. L. est le cauchemar de tout écrivain.Ou plutôt le genre de personne qu’un écrivain ne devrait jamais croiser.» Dans ce roman aux allures de thriller psychologique, Delphine de Vigan s’aventure en équilibriste sur la ligne de crête qui sépare le réel de la fiction. Ce livre est aussi une plongée au cœur d’une époque fascinée par le Vrai."
26,Un saint homme ,Anne Wiazemsky,"""– Allô ? Allô ? Anne ? C’est vous ? Oui, je reconnais votre voix... Elle n’est plus la même, plus grave, moins enfantine... Mais tout ce temps qui a passé... Je vous ai déjà appelée il y a une demi-heure, il y avait une machine, un répondeur, un truc, je n’ai pas laissé de message. Juste avant, j’avais entendu par hasard votre intervention à la radio. J’étais si stupéfait! Je conduisais, j’ai stoppé net et me suis arrêté dans le premier café. Un annuaire et vlan je vous appelle. J’ai repris la voiture et j’étais si ému que j’ai failli emboutir un arbre! Vous entendre, à la radio tant d’années après, vous ne pouvez imaginer le choc ! Et là, juste dans la façon dont vous avez dit ""allô"", je vous ai reconnue ! – Père Deau !"""
27,Un Noël à New York ,Anne Perry,"La fille de Thomas Pitt, Jemima, est l'héroïne de ce nouveau mystère de Noël dans le New York de 1904. Jemina Pitt, la fille du célèbre directeur de la Special Branch, a 23 ans durant l'hiver 1904. Elle décide d'accompagner sa jeune amie Delphinia Cardew à New York, sur le point de se marier avec l'aristocrate Brent Albright. Dans la haute société new-yorkaise, ce mariage est une grande affaire qui liera deux familles prodigieusement riches. Mais Jemina détecte une ombre mystérieuse planant sur la célébration. Maria, la mère de Delphinia, est absente de la fête et les Albright refusent de mentionner son nom. Et quand le frère du marié demande à Jemina de l'aider à retrouver Maria afin de prévenir un scandale, elle n'hésite pas à se lancer dans une enquête aussi inattendue que périlleuse. De Hell's Kitchen à Central Park, Jemina devra trouver son chemin à travers les rues enneigées de New York, sans se douter qu'un danger mortel la menace."
28,Numéro 11 ,Jonathan Coe,"Rachel et son amie Alison, dix ans, sont très intriguées par la maison du 11, Needless Alley, et par sa propriétaire qu’elles surnomment la Folle à l’Oiseau. D’autant plus lorsqu’elles aperçoivent une étrange silhouette à travers la fenêtre de la cave. Val Doubleday, la mère d’Alison, s’obstine quant à elle à vouloir percer dans la chanson, après un unique succès oublié de tous. En attendant, elle travaille – de moins en moins, restrictions budgétaires obligent – dans une bibliothèque et trouve refuge dans le bus numéro 11, pour profiter de son chauffage et de sa chaleur humaine. Jusqu’à ce qu’un appel inespéré lui propose de participer à une émission de téléréalité. Quelques années plus tard, dans un quartier huppé de Londres, Rachel travaille pour la richissime famille Gunn, qui fait bâtir onze étages supplémentaires... souterrains. Piscine avec plongeoir et palmiers, salle de jeux, cinéma, rien ne manquera à l’immense demeure. Mais plus les ouvriers s’approchent des profondeurs du niveau –11, plus des phénomènes bizarres se produisent. Si bien que Rachel croit devenir folle. À travers ce roman construit autour du chiffre 11, Jonathan Coe tisse une satire sociale et politique aussi acerbe que drôle sur la folie de notre temps. Il croque ses contemporains britanniques, gouvernés par une poignée de Winshaw – descendants des héros malveillants de Testament à l’anglaise –, capture dans sa toile les très riches et leurs serviteurs, leurs frustrations, leurs aspirations et leur démesure, avec une virtuosité toujours aussi diabolique."
29,Des hommes sans femmes ,Haruki Murakami,"Neuf ans après Saules aveugles, femme endormie, le retour d'Haruki Murakami à la forme courte. Dans ce recueil comme un clin d'œil à Hemingway, des hommes cherchent des femmes qui les abandonnent ou qui sont sur le point de le faire. Musique, solitude, rêve et mélancolie, le maître au sommet de son art. "" Ce que je veux aborder avec ce recueil ? En un mot, l'isolement, et ses conséquences émotionnelles. "" Des hommes sans femmes "" en est l'illustration concrète. C'est le titre qui m'a d'abord saisi (bien sûr, le recueil éponyme d'Hemingway n'y est pas étranger) et les histoires ont suivi. Chacune de ces histoires est venue en résonance du titre. Pourquoi Des hommes sans femmes ? Je n'en sais rien. D'une façon ou d'une autre, ce titre s'est enraciné dans mon esprit, comme une graine déposée dans un champ par le hasard du vent. """
30,Le livre des Baltimore ,Joël Dicker,"Joël Dicker Le Livre des Baltimore Jusqu’au jour du Drame, il y avait deux familles Goldman. Les Goldman-de-Baltimore et les Goldman-de-Montclair. Les Goldman-de-Montclair, dont est issu Marcus Goldman, l’auteur de La Vérité sur l’Affaire Harry Quebert, sont une famille de la classe moyenne, habitant une petite maison à Montclair, dans le New Jersey. Les Goldman-de-Baltimore sont une famille prospère à qui tout sourit, vivant dans une luxueuse maison d’une banlieue riche de Baltimore, à qui Marcus vouait une admiration sans borne. Huit ans après le Drame, c’est l’histoire de sa famille que Marcus Goldman décide cette fois de raconter, lorsqu’en février 2012 il quitte l’hiver new-yorkais pour la chaleur tropicale de Boca Raton, en Floride, où il vient s’atteler à son prochain roman. Au gré des souvenirs de sa jeunesse, Marcus revient sur la vie et le destin des Goldman-de-Baltimore et la fascination qu’il éprouva jadis pour cette famille de l’Amérique huppée, entre les vacances à Miami, la maison de vacances dans les Hamptons et les frasques dans les écoles privées. Mais les années passent et le vernis des Baltimore s’effrite à mesure que le Drame se profile. Jusqu’au jour où tout bascule. Et cette question qui hante Marcus depuis : qu’est-il vraiment arrivé aux Goldman-de-Baltimore? Joël Dicker est né à Genève en 1985. Son premier roman, Les Derniers Jours de nos pères, a reçu le Prix des écrivains genevois en 2010. Il a publié en 2012 La Vérité sur l’Affaire Harry Quebert, qui a obtenu successivement le Prix de la Vocation Bleustein-Blanchet, le Grand Prix du Roman de l’Académie française et le 25e Prix Goncourt des Lycéens."
31,Comme une respiration ,Jean Teulé,Respirez ! À fond ! Et laissez-vous emporter par la fantaisie malicieuse et cruelle de Jean Teulé qui dit l'extraordinaire des destins ordinaires.
32,Vernon Subutex ,Virginie Despentes, 
33,Inhumaines ,Philippe Claudel,"« Le rire contre les armes. Et l’ironie pour se moquer de nous. L’homme est sans doute le seul animal à commettre deux fois les mêmes erreurs. Il est aussi l’unique à fabriquer le pire et à le dépasser sans cesse. À observer le monde comme il va, on hésite alors entre les larmes et le rire. J’ai choisi dans Inhumaines de m’affubler d’un nez rouge, d’exagérer le vrai pour en saisir l’atroce. Ma volonté était de cette façon de tempérer la cruauté née de notre société en la croquant de façon grotesque, ce qui permet de s’en moquer, en espérant contribuer à la corriger aussi, même si je n’ai guère d’illusion sur ce point : restons modeste. En 2000, j’avais déjà écrit un roman, J’abandonne, sur la vulgarité de notre monde et sa bêtise. Cela ne me faisait pas rire à l’époque, et le texte était serré comme un coup de poing. Avec le temps, j’ai préféré l’humour et la satire, comme dans Le Paquet ou dans L’Enquête, pour dire comment nous allions droit dans le mur, un mur plus solide que nos pauvres caboches. Je suis convaincu qu’il est des situations où la littérature doit se transformer en papier de verre pour décaper les cervelles : cela fait un peu mal au début mais cela chatouille aussi. Et après tout, à mon très petit niveau, je ne fais avec ce roman de moeurs que m’inscrire dans un sillon tracé depuis longtemps par des aînés prestigieux, Pétrone, Rabelais, Molière, Voltaire, Villiers de L’Isle-Adam, Jarry, l’Apollinaire des romans érotiques et absurdes, Georges Fourest, les Surréalistes, Ionesco, Roland Topor, Pierre Desproges et bien d’autres qui se sont servis de l’outrance et de la farce pour transcrire nos errements, et amuser leur public en le déshabillant. Bien des peintres et graveurs aussi m’ont inspiré depuis longtemps, qui ont su se pencher sur les monstres : Jérôme Bosch, Brueghel, Jacques Callot, Monsu Desiderio, Füssli, George Grosz, Alfred Kubin, Otto Dix, le Topor dessinateur, Reiser, Jean Rustin, Cardon, sans oublier la joyeuse bande du mythique Hara-Kiri. Et dans le cinéma, comment ne pas citer Dino Risi et ses propres Monstres, mais aussi plus près de nous le devenu culte désormais C’est arrivé près de chez vous de Rémy Belvaux, André Bonzel et Benoît Poelvoorde, Inhumaines est inspiré de faits réels. Toute ressemblance avec des personnes ou des situations existant est totalement volontaire. J’ai simplement forcé un peu le trait. À peine. Et je n’ai d’autre ambition que faire rire, même jaune, à nos propres dépens, à commencer par les miens. Inhumaines est à la vérité ce que le palais des glaces est au réel : exhibant un reflet convexe, parfois concave, rétréci ou agrandi, même s’il déforme, il ne ment jamais. »"
34,Le retour de Jules ,Didier Van Cauwelaert,"« Guide d'aveugle au chômage depuis qu'Alice a recouvré la vue, Jules s'est reconverti en chien d'assistance pour épileptiques. Il a retrouvé safierté, sa raison de vivre. Il est même tombé amoureux de Victoire, une collègue de travail. Et voilà que, pour une raison aberrante, les pouvoirs publics le condamnent à mort. Alice et moi n'avons pas réussi à protéger notre couple ; il nous reste vingt-quatre heures pour sauver notre chien. » Au coeur des tourments amoureux affectant les humains comme les animaux, Didier van Cauwelaert nous entraîne dans un suspense endiablé, où se mêlent l'émotion et l'humour qui ont fait l'immense succès de Jules."
35,Trois jours et une vie ,Pierre Lemaitre,"« À la fin de décembre 1999, une surprenante série d'événements tragiques s'abattit sur Beauval, au premier rang desquels, bien sûr, la disparition du petit Rémi Desmedt. Dans cette région couverte de forêts, soumise à des rythmes lents, la disparition soudaine de cet enfant provoqua la stupeur et fut même considérée, par bien des habitants, comme le signe annonciateur des catastrophes à venir. Pour Antoine, qui fut au centre de ce drame, tout commença par la mort du chien... » P.L. Le nouveau roman de Pierre Lemaitre, Goncourt 2013."
36,La fleur de l'illusion ,Keigo Higashino,"Un fou armé d’un sabre qui massacre une famille en pleine rue, deux enfants qui se lient d’amitié après une rencontre de hasard sur un marché aux fleurs, un vieillard retrouvé sans vie dans sa maison : trois destins que rien ne semble rejoindre, sinon peut-être une mystérieuse fleur jaune aux pouvoirs insoupçonnés. Une nouvelle intrigue magistrale par le maître de l’origami policier."
37,La vengeance des mères ,Jim Fergus, 
38,En attendant Bojangles ,Olivier Bourdeaut,"Sous le regard émerveillé de leur fils, ils dansent sur «Mr. Bojangles» de Nina Simone. Leur amour est magique, vertigineux, une fête perpétuelle. Chez eux, il n’y a de place que pour le plaisir, la fantaisie et les amis.Celle qui mène le bal, c’est la mère, imprévisible et extravagante. Elle n’a de cesse de les entraîner dans un tourbillon de poésie et de chimères.Un jour, pourtant, elle va trop loin. Et père et fils feront tout pour éviter l’inéluctable, pour que la fête continue, coûte que coûte.L’amour fou n’a jamais si bien porté son nom."
39,Mortels trafics ,Pierre Pouchairet, 
40,La chair ,Rosa Montero, 
41,Comment tu parles de ton père ,Joann Sfar,"« Papa est né l'année où tonton Adolf est devenu chancelier : 1933. C'est l'année où pour la première fois on a découvert le monstre du Loch Ness. C'est l'année, enfin, où sortait King Kong sur les écrans. Mon père, c'est pas rien. » Tout le monde n'a pas eu la chance d'avoir et un père comme André Sfar. Ce livre pudique, émouvant et très personnel, est le Kaddish de Joann Sfar pour son père disparu. Entre rire et larmes."
42,"Ma mère, cette inconnue ",Philippe Labro,"'Netka, il y a du slave dans ce nom qui sonne clair. Elle a cinquante pour cent de sang polonais dans ses veines. Il me faudra beaucoup de temps pour identifier la Pologne, chercher la trace du père inconnu, éclaircir les mystères, imaginer l'enfant-valise, la petite fille abandonnée. Elle est, elle était ma mère.' Philippe Labro."
43,L'ordre du jour ,Éric Vuillard,"L’Allemagne nazie a sa légende. On y voit une armée rapide, moderne, dont le triomphe parait inexorable. Mais si au fondement de ses premiers exploits se découvraient plutôt des marchandages, de vulgaires combinaisons d’intérêts ? Et si les glorieuses images de la Wehrmacht entrant triomphalement en Autriche dissimulaient un immense embouteillage de panzers ? Une simple panne ! Une démonstration magistrale et grinçante des coulisses de l’Anschluss par l’auteur de Tristesse de la terre et de 14 juillet."
44,Écoutez nos défaites ,Laurent Gaudé,"Un agent des services de renseignements français gagné par une grande lassitude est chargé de retrouver à Beyrouth un ancien membre des commandos d'élite américains soupçonné de divers trafics. Il croise le chemin d'une archéologue irakienne qui tente de sauver les trésors des musées des villes bombardées. Les lointaines épopées de héros du passé scandent leurs parcours – le général Grant écrasant les Confédérés, Hannibal marchant sur Rome, Hailé Sélassié se dressant contre l’envahisseur fasciste... Un roman inquiet et mélancolique qui constate l'inanité de toute conquête et proclame que seules l’humanité et la beauté valent la peine qu'on meure pour elles."
45,Fendre l'armure ,Anna Gavalda, 
46,Les bottes suédoises ,Henning Mankell,"Fredrik Welin, médecin à la retraite, vit reclus sur son île de la Baltique. Une nuit, une lumière aveuglante le tire du sommeil. Au matin, la maison héritée de ses grands-parents n'est plus qu'une ruine fumante. Réfugié dans la vieille caravane de son jardin, il s'interroge : à soixante-dix ans, seul, dépossédé de tout, a-t-il encore une raison de vivre ? Mais c'est compter sans les révélations de sa fille Louise et, surtout, l'apparition d'une femme, Lisa Modin, journaliste de la presse locale. Tandis que l'hiver prend possession de l'archipel, tout va basculer de façon insensible jusqu'à l'inimaginable dénouement. Après l'immense succès des Chaussures italiennes, auquel il fait suite, Les Bottes suédoises brosse le portrait en clair-obscur d'un homme tenaillé par le doute, le regret, la peur face à l'ombre grandissante de la mort ¿ mais aussi la soif d'amour et le désir ¿ , d'un être amené par les circonstances à revisiter son destin et à reprendre goût à la vie. Tel est l'ultime roman de Henning Mankell : une œuvre d'une sobriété élégiaque et poignante, traversée et portée par la beauté crépusculaire des paysages. Henning Mankell a partagé sa vie entre la Suède et le Mozambique. Outre la célèbre série "" Wallander "", il est l'auteur de romans sur l'Afrique et sur des questions de société récompensés par de nombreux prix littéraires, de pièces de théâtre et d'ouvrages pour la jeunesse. Henning Mankell est mort à Göteborg le 5 octobre 2015 à l'âge de 67 ans. Traduit du suédois par Anna Gibson Philosophe de formation, Anna Gibson exerce à plein temps le métier de traductrice littéraire. Elle a traduit notamment Henning Mankell, Colm Tóibín, Monika Fagerholm, Klas Östergren, Aldo Leopold."
47,La succession ,Jean-Paul Dubois, 
48,Une avalanche de conséquences ,Elizabeth George,"Et si le secret de famille était le plus indétectable des poisons ? Qu'est-ce que Lily a bien pu découvrir dans le journal intime de son fiancé William Goldacre pour que celui-ci se précipite du haut d'une falaise du Dorset ? Et est-ce un hasard si, quelque temps plus tard, sa mère, Caroline Goldacre, se retrouve mêlée à une sombre affaire : la mort suspecte de Clare Abbott, l'auteur féministe dont elle était l'assistante ? Si le lien entre les deux décès semble ténu, voire inexistant, le sergent Barbara Havers est néanmoins déterminée à faire éclater la vérité. Il n'en faudra pas moins pour restaurer auprès de sa hiérarchie son image salement écornée par une précédente enquête. Elle est soutenue par son supérieur, l'inspecteur Thomas Lynley, qui suit une piste à Cambridge, où le corps de Clare a été retrouvé. Barbara Havers, de son côté, cherche quel mystère se cache dans la campagne du Dorset, d'apparence si paisible... D'une main de maître, Elizabeth George tire les ficelles d'une énigme troublante où la tragédie côtoie le crime. Lorsque resurgissent des secrets de famille depuis longtemps enfouis se déclenche inévitablement une avalanche de conséquences..."
49,Le piège de la Belle au bois dormant ,Mary Higgins Clark,"Leur réputation n'est plus à faire : après le succès de L'Affaire Cendrillon et de La Mariée était en blanc, le duo de choc Mary Higgins Clark - Alafair Burke revient pour une nouvelle enquête de Laurie Moran. La productrice de Suspicion, l'émission de télé-réalité spécialisée dans la reconstitution de cold cases, s'est laissée convaincre par Casey Carter, tout juste libérée de prison après une peine de de quinze ans pour le meurtre de son fiancé, Hunter Raleigh. Si pour la presse et l'opinion publique Casey reste une criminelle, celle-ci continue de clamer son innocence, et Suspicion est sa seule chance de la prouver. Entre les nombreuses jalousies et rivalités que suscitait les fiançailles de Casey et Hunter, héritier d'une des plus grandes fortunes américaines, et l'arrivée d'un jeune loup aux dents longues pour remplacer le précédent présentateur de Suspicion, l'enquête et l'émission de Laurie s'annoncent difficiles..."
